system	call	action	probe1_defect	probe1_relative_error	probe3_defect	probe3_stderr	probe3_score	probe3_relative_error	full_occupied_defect	independent_probe1_defect	independent_probe1_relative_error	exchange_energy_defect_meV	ace_rank	exx_call_time_s
Si2	2	rebuild	0.006904682732289549	3.1851720008699383e-9	0.0069046827528998515	2.4951356302922858e-11	0.0069046828028025645	2.0019741758957677e-10	0.006904682754282151	0.0069046827238461155	4.40802810489199e-9	7.255185996337686	4	0.201759651
Si2	3	reuse	0.0016671580161082026	1.6143249551518947e-9	0.0016671580296599075	1.2664737878444639e-11	0.0016671580549893832	9.742951508892143e-9	0.0016671580134168678	0.0016671580549681702	2.49234337687357e-8	0.8853737850338989	4	0.285326646
Si2	4	reuse	0.0023141894318775415	9.604078455741231e-9	0.0023141894446641917	1.677847852203793e-11	0.002314189478221149	4.0787528657380065e-9	0.0023141894541031985	0.002314189484763256	1.3248724013448158e-8	1.3641863779795325	4	0.076788947
Si2	5	reuse	0.0022576437430875153	3.4798959720847187e-6	0.002257649625631442	5.882528604997615e-9	0.0022576613906886522	8.742929073104684e-7	0.0022576515994802227	0.0022576437430875153	3.4798959720847187e-6	2.0626200386433626	4	0.078603962
Si2	6	reuse	0.002232988572826707	3.305898602587212e-8	0.002232988553983778	1.884292909782685e-11	0.0022329885916696364	4.149742075842673e-8	0.0022329886466470475	0.0022329885162979198	5.8374290417751386e-8	2.4894234600389167	4	0.081573549
Si2	7	rebuild	0.002221611764561502	5.727059666941374e-7	0.0022216103457011957	7.969778469686041e-10	0.0022216119396568897	6.595698125147237e-8	0.0022216104922319173	0.0022216119385968028	6.510434167268945e-7	2.7499109802131985	4	0.110058443
Si2	8	reuse	0.00043432970171254073	4.105958848074129e-5	0.00043433557204407806	5.8702521929239305e-9	0.0004343473125484639	2.7544301635770915e-5	0.0004343475358436201	0.0004343534051609243	1.3512951772137271e-5	0.4410927426488696	4	0.081589558
Si2	9	reuse	0.0004327357422269358	7.318340721996925e-5	0.0004327505720653453	1.4829330263592141e-8	0.0004327802307258725	3.891595097724807e-5	0.00043276741362079834	0.0004327903518376716	5.300356762384199e-5	0.5457898871761457	4	0.082734734
Si2	10	reuse	0.00043368377555544715	5.2556682184044595e-5	0.0004336624332436579	1.6624283042480626e-8	0.00043369568180974283	3.342405161499652e-6	0.0004336609837729474	0.0004336293011823623	7.305842990399893e-5	0.6086314596194977	4	0.29140288
Si2	11	reuse	0.00043501874093297	7.143019163902768e-5	0.0004350424661680887	1.2852088505679023e-8	0.00043506817034510005	1.6895666598298553e-5	0.000435049816624744	0.00043501874093297	7.143019163902768e-5	0.6462423538635881	4	0.076174749
Si2	12	rebuild	0.0004362641094442352	7.249052250092048e-5	0.0004362820860625012	8.988216551395155e-9	0.000436300062495604	3.128769434605385e-5	0.00043629573675015715	0.00043631843239067355	5.201893716738193e-5	0.6686200700384445	4	0.107157372
Si2	13	reuse	8.83757283002284e-5	5.4148184811525435e-5	8.837309311383049e-5	1.3176659971577245e-9	8.837572844582481e-5	2.4328582312562022e-5	8.837094317406544e-5	8.837179780402655e-5	9.67093855072703e-6	0.09673315774047021	4	0.08219074
Si2	14	reuse	8.908071387090639e-5	1.746389544843653e-5	8.907815174488536e-5	1.2810722223610886e-9	8.908071388933009e-5	1.1298455619407939e-5	8.907915820180092e-5	8.908071387090639e-5	1.746389544843653e-5	0.10334386028159948	4	0.081169611
Si2	15	reuse	8.975589912120214e-5	2.212859614799784e-5	8.975727237291058e-5	1.7579523484038564e-9	8.976078827760738e-5	6.829085656254989e-6	8.975788533719787e-5	8.97557930876305e-5	2.330992491082326e-5	0.1070634340314653	4	0.082228441
Si2	16	reuse	9.031218924400511e-5	2.2408268521544833e-5	9.031502094776107e-5	1.45711538919996e-9	9.031793517853946e-5	8.945642020154164e-6	9.031421302914198e-5	9.031186409252636e-5	2.6008493423558474e-5	0.1091099749991314	4	0.082717035
Si2	17	rebuild	9.074477300410964e-5	2.585328276790837e-5	9.074651507419382e-5	1.742036642908107e-9	9.074999914747963e-5	6.656308790508484e-6	9.07471191150405e-5	9.074512358939569e-5	2.1989961381316074e-5	0.11020241140698404	4	0.32677012
Si2	18	reuse	1.9127555280366825e-5	4.6065340071386944e-5	1.9128229592727023e-5	3.371532087588333e-10	1.912890389914454e-5	1.0813511602645327e-5	1.912843643829639e-5	1.912833816299529e-5	5.137654685744896e-6	0.012426038902845292	4	0.078605542
Si2	19	reuse	1.943897574407544e-5	4.523553540330321e-6	1.9439215847801816e-5	3.025049254163792e-10	1.9439820857652648e-5	7.828056102732891e-6	1.9439063677720762e-5	1.9438607160529254e-5	2.348452575066127e-5	0.012796587922318239	4	0.078592623
Si2	20	reuse	1.9690095306860338e-5	3.814414880005097e-5	1.968979778258569e-5	2.682850265446083e-10	1.969033435263878e-5	2.3033220243331098e-5	1.968934427358259e-5	1.96891403312094e-5	1.0358007374876734e-5	0.01296340939503851	4	0.083468213
Si2	21	reuse	1.9882590899913002e-5	5.34524682942204e-5	1.988365958388925e-5	5.669609787470283e-10	1.9884793505846742e-5	2.9439285832548397e-7	1.9883653730283593e-5	1.9883865578481706e-5	1.0654389831286451e-5	0.013026064281689495	4	0.08197024
Si2	22	rebuild	2.0031050645717616e-5	2.0478937896925528e-5	2.003121721158629e-5	8.32827612088127e-11	2.003138377710871e-5	1.2163724654769019e-5	2.003146086876073e-5	2.0031400148222474e-5	3.03125861139653e-6	0.013029991540742877	4	0.111310737
Si2	23	reuse	4.458171444570285e-6	8.780498275460015e-6	4.4582621005879555e-6	5.302610712826341e-11	4.458368152802212e-6	1.1554121600041627e-5	4.4582105898806815e-6	4.4581677980121475e-6	9.598440376742337e-6	0.0003892922892459752	4	0.083202863
Si2	24	reuse	4.553865564676845e-6	3.207989889481402e-5	4.553927280182836e-6	6.098483792510043e-11	4.554049249858686e-6	1.8527999901079775e-5	4.554011656910365e-6	4.553867027302863e-6	3.175872579994482e-5	0.0005397247884634205	4	0.293848716
Si2	25	reuse	4.629538727546061e-6	1.5603333519308453e-5	4.629462848757475e-6	1.0397592377368863e-10	4.629670800605022e-6	7.87062374067997e-7	4.629466492436363e-6	4.629481092757061e-6	3.153780402554954e-6	0.0006237774902745455	4	0.076367232
