system	method	evaluation	accepted_iteration	density_residual	elapsed_s
Si2	Vanilla_EXX	1	1	0.0062763920171001655	0.283841542
Si2	Vanilla_EXX	2	2	0.005077744834647843	0.803402245
Si2	Vanilla_EXX	3	3	0.0038180577826537583	1.508898906
Si2	Vanilla_EXX	4	4	0.00259572452183795	1.910395155
Si2	Vanilla_EXX	5	5	0.001726830426397885	2.475062204
Si2	Vanilla_EXX	6	6	0.001148879135708091	2.918804654
Si2	Vanilla_EXX	7	7	0.0007684876783091299	3.320776611
Si2	Vanilla_EXX	8	8	0.000517185822110022	3.958304608
Si2	Vanilla_EXX	9	9	0.0003499192259208193	4.358485302
Si2	Vanilla_EXX	10	10	0.00023776286940286497	4.9883408
Si2	Vanilla_EXX	11	11	0.00016209334807568512	5.38510296
Si2	Vanilla_EXX	12	12	0.00011079019338147253	5.788555252
Si2	Vanilla_EXX	13	13	7.588285994651705e-5	6.386308258
Si2	Vanilla_EXX	14	14	5.205464851314605e-5	6.73963149
Si2	Vanilla_EXX	15	15	3.575782354133622e-5	7.095608884
Si2	Vanilla_EXX	16	16	2.4593785859694003e-5	7.686617305
Si2	Vanilla_EXX	17	17	1.693532053923859e-5	8.038525909
Si2	Vanilla_EXX	18	18	1.167524874361964e-5	8.664967206
Si2	Vanilla_EXX	19	19	8.058435702320263e-6	9.011262059
Si2	Vanilla_EXX	20	20	5.568902280279303e-6	9.366086092
Si2	Vanilla_EXX	21	21	3.853429679218676e-6	9.932527631
Si2	Vanilla_EXX	22	22	2.669906899413118e-6	10.284031401
Si2	Vanilla_EXX	23	23	1.852433046113654e-6	10.639717631
Si2	Vanilla_EXX	24	24	1.287099732813639e-6	11.246095171
Si2	Vanilla_EXX	25	25	8.956293610692352e-7	11.602808517
Si2	ACE_occupied	1	1	0.00622433902456133	0.188127044
Si2	ACE_occupied	2	2	0.005100424778821693	0.413958998
Si2	ACE_occupied	3	3	0.0038193177192430974	0.567381168
Si2	ACE_occupied	4	4	0.002602297332670084	0.710415114
Si2	ACE_occupied	5	5	0.0017339256494260887	0.854247402
Si2	ACE_occupied	6	6	0.0011542837668422525	0.992350834
Si2	ACE_occupied	7	7	0.0007721562322058104	1.344626776
Si2	ACE_occupied	8	8	0.0005196813224263091	1.494920661
Si2	ACE_occupied	9	9	0.0003516414321716311	1.657284397
Si2	ACE_occupied	10	10	0.00023896278898394058	1.800538154
Si2	ACE_occupied	11	11	0.00016292970278896653	1.94311398
Si2	ACE_occupied	12	12	0.00011138023152258864	2.079300555
Si2	ACE_occupied	13	13	7.628349418215151e-5	2.2159344
Si2	ACE_occupied	14	14	5.23275491693775e-5	2.556627444
Si2	ACE_occupied	15	15	3.5942964828848525e-5	2.716456144
Si2	ACE_occupied	16	16	2.4718633738104915e-5	2.850146613
Si2	ACE_occupied	17	17	1.7019038440179673e-5	2.984097047
Si2	ACE_occupied	18	18	1.173113676622704e-5	3.120273024
Si2	ACE_occupied	19	19	8.09563556055436e-6	3.258011385
Si2	ACE_occupied	20	20	5.593628485679823e-6	3.394478575
Si2	ACE_occupied	21	21	3.869848513623896e-6	3.530641326
Si2	ACE_occupied	22	22	2.680822127161066e-6	3.870483684
Si2	ACE_occupied	23	23	1.8597104868040512e-6	4.029138763
Si2	ACE_occupied	24	24	1.291972095807466e-6	4.164406157
Si2	ACE_occupied	25	25	8.989091794160774e-7	4.298171143
Si2	ACE_full	1	1	0.00622433902456381	0.152974802
Si2	ACE_full	2	2	0.00510042477894101	0.316947649
Si2	ACE_full	3	3	0.003819318285388911	0.487286881
Si2	ACE_full	4	4	0.0026022973981746898	0.654763221
Si2	ACE_full	5	5	0.0017339266331708315	1.026306631
Si2	ACE_full	6	6	0.0011542835146902033	1.211292788
Si2	ACE_full	7	7	0.000772155532909059	1.384741764
Si2	ACE_full	8	8	0.0005196808211601754	1.54877907
Si2	ACE_full	9	9	0.0003516414222404834	1.71541517
Si2	ACE_full	10	10	0.00023896257243032673	1.880854391
Si2	ACE_full	11	11	0.00016292965457306656	2.242833373
Si2	ACE_full	12	12	0.00011138026341143498	2.400404656
Si2	ACE_full	13	13	7.628352716616386e-5	2.559060322
Si2	ACE_full	14	14	5.2327578463843316e-5	2.718108328
Si2	ACE_full	15	15	3.594298782278313e-5	2.878929959
Si2	ACE_full	16	16	2.4718650294255645e-5	3.038894297
Si2	ACE_full	17	17	1.701904957273987e-5	3.42740461
Si2	ACE_full	18	18	1.1731143922679892e-5	3.59214915
Si2	ACE_full	19	19	8.095640025219627e-6	3.747779125
Si2	ACE_full	20	20	5.593631217635669e-6	3.906131931
Si2	ACE_full	21	21	3.869850163026079e-6	4.06757739
Si2	ACE_full	22	22	2.680823104928979e-6	4.438577252
Si2	ACE_full	23	23	1.8597110525451009e-6	4.632341141
Si2	ACE_full	24	24	1.2919724121749089e-6	4.786444083
Si2	ACE_full	25	25	8.989093475881657e-7	4.94679074
Si2	AdaptiveEXX	1	1	0.006224339024561063	0.177757002
Si2	AdaptiveEXX	2	2	0.005100424778821704	1.208042141
Si2	AdaptiveEXX	3	3	0.0036622990820805498	1.358979349
Si2	AdaptiveEXX	4	4	0.002416608472758457	1.483707213
Si2	AdaptiveEXX	5	5	0.0016030678476476631	1.608287883
Si2	AdaptiveEXX	6	6	0.0010686859479706614	1.734509987
Si2	AdaptiveEXX	7	7	0.0009094934013596747	1.888030312
Si2	AdaptiveEXX	8	8	0.0006177528402528013	2.210057104
Si2	AdaptiveEXX	9	9	0.00042100178996176815	2.334289595
Si2	AdaptiveEXX	10	10	0.0002877912577544824	2.468044591
