system	functional	method	converged	scf_evaluations	accepted_iterations	hamiltonian_matvecs	inner_scf_time_s	total_wall_time_s	final_energy_Ha	final_density_residual
Si2	PBE0	Vanilla_EXX	true	25	25	894	11.602808517	11.814697863	-7.734152742833537	8.956293610692352e-7
Si2	PBE0	ACE_occupied	true	25	25	888	4.298171143	4.502508492	-7.734152742833537	8.989091794160774e-7
Si2	PBE0	ACE_full	true	25	25	888	4.94679074	4.979649314	-7.734152742833534	8.989093475881657e-7
Si2	PBE0	AdaptiveEXX	true	29	29	1087	5.350304776	5.553329808	-7.7341527428325705	9.402628078432065e-7
C2	PBE0	Vanilla_EXX	true	26	26	921	2.369864219	2.378559617	-10.785351262074306	8.08572772182141e-7
C2	PBE0	ACE_occupied	true	26	26	893	0.766896986	0.775189135	-10.78535126207432	8.077146667271715e-7
C2	PBE0	ACE_full	true	26	26	899	1.071051395	1.080041241	-10.7853512620743	8.077129526852559e-7
C2	PBE0	AdaptiveEXX	true	27	27	950	0.71580248	0.72425681	-10.785351262074279	8.511711804788438e-7
MgO2	PBE0	Vanilla_EXX	true	26	26	1373	13.215393944	13.254942466	-75.54121258229954	7.979154918590737e-7
MgO2	PBE0	ACE_occupied	true	26	26	1367	3.630071575	3.663152865	-75.54121258229956	8.068567438516081e-7
MgO2	PBE0	ACE_full	true	26	26	1361	4.41311626	4.44393182	-75.54121258229954	8.023314368722504e-7
MgO2	PBE0	AdaptiveEXX	true	28	28	1595	2.730038036	2.758643086	-75.54121258229947	7.450244196395104e-7
LiF2	PBE0	Vanilla_EXX	true	25	25	1071	7.220784453	7.240493646	-31.564584667815257	9.968607141159e-7
LiF2	PBE0	ACE_occupied	true	26	26	1101	2.057713059	2.077790619	-31.56458466781523	6.784144765893918e-7
LiF2	PBE0	ACE_full	true	26	26	1091	2.631825557	2.652866723	-31.564584667815247	6.751017940196651e-7
LiF2	PBE0	AdaptiveEXX	true	26	26	1159	1.783872837	1.804796194	-31.564584667815176	7.892481546272463e-7
Si8	PBE0	Vanilla_EXX	true	27	27	2520	239.721490548	240.423545956	-32.590224223437225	8.99570891157828e-7
Si8	PBE0	ACE_occupied	true	27	27	2531	52.64872556	53.356888058	-32.590224223437225	9.05005459212232e-7
Si8	PBE0	ACE_full	true	27	27	2517	58.992811335	59.69654787	-32.590224223437204	9.026201301574392e-7
Si8	PBE0	AdaptiveEXX	true	30	30	3136	34.632216638	35.077179068	-32.59022422343587	6.612144885719352e-7
