system	method	evaluation	accepted_iteration	density_residual	elapsed_s
Si2_HSE06	Vanilla_EXX	1	1	0.005836481253615419	0.225013412
Si2_HSE06	Vanilla_EXX	2	2	0.005325097752706136	0.451982611
Si2_HSE06	Vanilla_EXX	3	3	0.004051537381925178	0.900452315
Si2_HSE06	Vanilla_EXX	4	4	0.0028704976392951243	1.552867005
Si2_HSE06	Vanilla_EXX	5	5	0.001982370905699229	2.000490292
Si2_HSE06	Vanilla_EXX	6	6	0.0013581388798826297	2.451365564
Si2_HSE06	Vanilla_EXX	7	7	0.0009297379952134981	3.105244666
Si2_HSE06	Vanilla_EXX	8	8	0.0006376496405211944	3.495789538
Si2_HSE06	Vanilla_EXX	9	9	0.00043844969407475084	3.985319278
Si2_HSE06	Vanilla_EXX	10	10	0.0003021569298486023	4.64146747
Si2_HSE06	Vanilla_EXX	11	11	0.00020861703243048026	5.088107219
Si2_HSE06	Vanilla_EXX	12	12	0.0001442430928655597	5.538165922
Si2_HSE06	Vanilla_EXX	13	13	9.985593339159119e-5	6.240611719
Si2_HSE06	Vanilla_EXX	14	14	6.920154552754656e-5	6.735490298
Si2_HSE06	Vanilla_EXX	15	15	4.800685619395915e-5	7.232859719
Si2_HSE06	Vanilla_EXX	16	16	3.333919617174815e-5	7.918764094
Si2_HSE06	Vanilla_EXX	17	17	2.3178044182853665e-5	8.416857183
Si2_HSE06	Vanilla_EXX	18	18	1.613841313634941e-5	9.228791141
Si2_HSE06	Vanilla_EXX	19	19	1.1246760472497702e-5	9.882427182
Si2_HSE06	Vanilla_EXX	20	20	7.844721634747775e-6	10.488880797
Si2_HSE06	Vanilla_EXX	21	21	5.4794849153772535e-6	11.292773555
Si2_HSE06	Vanilla_EXX	22	22	3.834109236979565e-6	11.844386539
Si2_HSE06	Vanilla_EXX	23	23	2.686842188347633e-6	12.551921833
Si2_HSE06	Vanilla_EXX	24	24	1.886414576212783e-6	13.154087798
Si2_HSE06	Vanilla_EXX	25	25	1.3273126054353219e-6	13.862789782
Si2_HSE06	Vanilla_EXX	26	26	9.354804916709904e-7	14.773760394
Si2_HSE06	ACE_occupied	1	1	0.0057898704343166355	0.150429161
Si2_HSE06	ACE_occupied	2	2	0.005334519153073814	0.304699153
Si2_HSE06	ACE_occupied	3	3	0.0040525614199911604	0.486598538
Si2_HSE06	ACE_occupied	4	4	0.0028756902366865243	0.669876918
Si2_HSE06	ACE_occupied	5	5	0.00198955912059302	0.852626313
Si2_HSE06	ACE_occupied	6	6	0.0013649977392543788	1.039131718
Si2_HSE06	ACE_occupied	7	7	0.0009353897666528397	1.225263727
Si2_HSE06	ACE_occupied	8	8	0.0006420141909809448	1.41025109
Si2_HSE06	ACE_occupied	9	9	0.0004416659363496163	1.799558044
Si2_HSE06	ACE_occupied	10	10	0.0003044831076718061	1.985826291
Si2_HSE06	ACE_occupied	11	11	0.00021027472702492452	2.167777295
Si2_HSE06	ACE_occupied	12	12	0.0001454128260882812	2.349644261
Si2_HSE06	ACE_occupied	13	13	0.00010067591606544725	2.53930576
Si2_HSE06	ACE_occupied	14	14	6.977202927656213e-5	2.737266129
Si2_HSE06	ACE_occupied	15	15	4.8399213158751516e-5	2.929979665
Si2_HSE06	ACE_occupied	16	16	3.36073203367736e-5	3.121597921
Si2_HSE06	ACE_occupied	17	17	2.3362474693640716e-5	3.313744194
Si2_HSE06	ACE_occupied	18	18	1.6258955606333843e-5	3.707002827
Si2_HSE06	ACE_occupied	19	19	1.1330351391225973e-5	3.908413835
Si2_HSE06	ACE_occupied	20	20	7.906480361334182e-6	4.111466963
Si2_HSE06	ACE_occupied	21	21	5.524796773298883e-6	4.316439712
Si2_HSE06	ACE_occupied	22	22	3.8675710707734846e-6	4.522047252
Si2_HSE06	ACE_occupied	23	23	2.7070917776895975e-6	4.729362572
Si2_HSE06	ACE_occupied	24	24	1.899736362803374e-6	4.935485522
Si2_HSE06	ACE_occupied	25	25	1.3364767667215012e-6	5.150882198
Si2_HSE06	ACE_occupied	26	26	9.397096317546256e-7	5.364869785
Si2_HSE06	ACE_full	1	1	0.005789870427267594	0.170936139
Si2_HSE06	ACE_full	2	2	0.005334376565199027	0.341026274
Si2_HSE06	ACE_full	3	3	0.0040525650870675105	0.54260171
Si2_HSE06	ACE_full	4	4	0.002875721423370158	0.746597306
Si2_HSE06	ACE_full	5	5	0.0019895930241615248	0.952383468
Si2_HSE06	ACE_full	6	6	0.001365020047766193	1.157527092
Si2_HSE06	ACE_full	7	7	0.0009354111364176827	1.558980759
Si2_HSE06	ACE_full	8	8	0.0006420247639738031	1.759395495
Si2_HSE06	ACE_full	9	9	0.00044167489261254413	1.965555442
Si2_HSE06	ACE_full	10	10	0.00030449944487123595	2.175958461
Si2_HSE06	ACE_full	11	11	0.00021028251242277452	2.387547774
Si2_HSE06	ACE_full	12	12	0.00014541679852181407	2.599480446
Si2_HSE06	ACE_full	13	13	0.00010067318491623885	3.003963013
