system	method	energy_deviation_from_vanilla_meV_per_atom	inner_scf_time_s	total_wall_time_s	converged
Si2	Vanilla_EXX	0.0	11.602808517	11.814697863	true
Si2	ACE_occupied	0.0	4.298171143	4.502508492	true
Si2	ACE_full	3.6252849050717016e-11	4.94679074	4.979649314	true
Si2	AdaptiveEXX	1.3147699922393372e-8	5.350304776	5.553329808	true
C2	Vanilla_EXX	0.0	2.369864219	2.378559617	true
C2	ACE_occupied	1.9334852827049076e-10	0.766896986	0.775189135	true
C2	ACE_full	7.250569810143403e-11	1.071051395	1.080041241	true
C2	AdaptiveEXX	3.6252849050717016e-10	0.71580248	0.72425681	true
MgO2	Vanilla_EXX	0.0	13.215393944	13.254942466	true
MgO2	ACE_occupied	3.866970565409815e-10	3.630071575	3.663152865	true
MgO2	ACE_full	0.0	4.41311626	4.44393182	true
MgO2	AdaptiveEXX	9.667426413524538e-10	2.730038036	2.758643086	true
LiF2	Vanilla_EXX	0.0	7.220784453	7.240493646	true
LiF2	ACE_occupied	3.866970565409815e-10	2.057713059	2.077790619	true
LiF2	ACE_full	1.4501139620286806e-10	2.631825557	2.652866723	true
LiF2	AdaptiveEXX	1.111754037555322e-9	1.783872837	1.804796194	true
Si8	Vanilla_EXX	0.0	239.721490548	240.423545956	true
Si8	ACE_occupied	0.0	52.64872556	53.356888058	true
Si8	ACE_full	7.250569810143403e-11	58.992811335	59.69654787	true
Si8	AdaptiveEXX	4.6161961124579664e-9	34.632216638	35.077179068	true
