system	method	period	converged	scf_evaluations	inner_scf_time_s	total_wall_time_s	final_energy_Ha	energy_deviation_from_vanilla_meV_per_atom	rebuilds	reuses	total_exx_call_time_s
MgO2	PeriodicACE_2	2	true	26	3.637595938	3.844854878	-75.54121258229954	0.0	13	13	1.2249411919999997
MgO2	PeriodicACE_3	3	true	27	2.469252581	2.499126726	-75.54121258229955	1.9334852827049076e-10	9	18	0.9900482559999999
MgO2	PeriodicACE_5	5	true	30	2.294356954	2.325334312	-75.54121258229897	7.73394113081963e-9	6	24	0.6205474649999999
MgO2	ACE_occupied	0	true	26	3.630071575	3.663152865	-75.54121258229956	3.866970565409815e-10	NaN	NaN	NaN
MgO2	AdaptiveEXX	0	true	28	2.730038036	2.758643086	-75.54121258229947	9.667426413524538e-10	NaN	NaN	NaN
Si8	PeriodicACE_2	2	true	28	36.366841854	36.814490707	-32.5902242234372	9.667426413524538e-11	14	14	20.894766604
Si8	PeriodicACE_3	3	true	28	31.381825678	31.823585928	-32.590224223437225	0.0	10	18	15.260884425000002
Si8	PeriodicACE_5	5	true	33	31.606503287	32.269818729	-32.59022422343703	6.525512829129063e-10	7	26	11.871490684
Si8	ACE_occupied	0	true	27	52.64872556	53.356888058	-32.590224223437225	0.0	NaN	NaN	NaN
Si8	AdaptiveEXX	0	true	30	34.632216638	35.077179068	-32.59022422343587	4.6161961124579664e-9	NaN	NaN	NaN
