time_min,kappa_28C,28C_线性拟合_prediction,28C_线性拟合_residual,28C_非线性拟合_prediction,28C_非线性拟合_residual,28C_符号回归_prediction,28C_符号回归_residual,kappa_38C,38C_线性拟合_prediction,38C_线性拟合_residual,38C_非线性拟合_prediction,38C_非线性拟合_residual,38C_符号回归_prediction,38C_符号回归_residual
2.0,1895.0,1892.5662957957643,2.4337042042357098,1892.5081881371293,2.4918118628706907,1894.2236472243458,0.7763527756542317,2100.0,2107.9368805111617,-7.936880511161689,2107.809841628451,-7.809841628451068,2107.956899496752,-7.956899496752158
4.0,1727.0,1722.144391378576,4.855608621423926,1725.8232548293488,1.176745170651202,1724.6440000731698,2.3559999268302363,1891.0,1863.8966869551118,27.103313044888182,1863.8330455388311,27.16695446116887,1863.921559305974,27.078440694026085
6.0,1592.0,1591.4735285522227,0.5264714477773396,1596.8939368275715,-4.893936827571451,1594.4015090059438,-2.401509005943808,1690.0,1705.173609524374,-15.173609524373887,1705.1443928353274,-15.14439283532738,1705.1990150350478,-15.19901503504775
8.0,1490.0,1488.0983734692477,1.90162653075231,1494.1972865851544,-4.197286585154416,1491.231235892915,-1.2312358929150378,1576.0,1593.6840660817256,-17.684066081725632,1593.67582103601,-17.675821036009893,1593.7086097668407,-17.70860976684071
10.0,1408.0,1404.2750692177565,3.7249307822435185,1410.4664200195007,-2.4664200195006742,1407.4869978035192,0.5130021964807838,1522.0,1511.0749089097112,10.925091090288788,1511.0804950484176,10.91950495158244,1511.0981559809557,10.901844019044347
15.0,1264.0,1250.8150169510186,13.184983048981394,1256.102709487213,7.8972905127870945,1253.9692714976657,10.030728502334341,1375.0,1375.2736417949634,-0.273641794963396,1375.298805561827,-0.2988055618270664,1375.2935401043824,-0.2935401043823731
20.0,1153.0,1146.6215297128374,6.3784702871626,1150.4966950463447,2.503304953655288,1149.587104542582,3.412895457418017,1295.0,1292.8501059130479,2.149894086952145,1292.885236124272,2.114763875727931,1292.8672335311153,2.1327664688847108
25.0,1076.0,1071.2514412890132,4.748558710986799,1073.6980670415785,2.301932958421503,1074.0050138841277,1.9949861158722797,1240.0,1237.5025608720262,2.4974391279738484,1237.5435712613628,2.4564287386372143,1237.5175150183902,2.4824849816097867
30.0,1020.0,1014.1977703740534,5.802229625946552,1015.3343456610625,4.665654338937543,1016.7486478216042,3.2513521783957913,1197.0,1197.7715822014886,-0.7715822014886271,1197.8164112259667,-0.8164112259667036,1197.7848210960926,-0.7848210960926281
35.0,960.0,969.507046445805,-9.507046445805031,969.4790963874044,-9.479096387404411,971.8737199358791,-11.87371993587908,1167.0,1167.8648981811593,-0.864898181159333,1167.9123797398433,-0.9123797398433453,1167.876760481137,-0.8767604811368983
