student_id,knowledge_point,pre_score,post_score,max_score,pre_mastery,post_mastery,gain,normalized_gain
S001,反应级数判定,6,9,10,0.6,0.9,3,0.75
S001,积分速率方程,5,8,10,0.5,0.8,3,0.6
S001,理论实验关联,5,9,10,0.5,0.9,4,0.8
S001,数据处理,6,9,10,0.6,0.9,3,0.75
S001,误差分析,4,8,10,0.4,0.8,4,0.6666666666666666
S002,反应级数判定,7,9,10,0.7,0.9,2,0.6666666666666666
S002,积分速率方程,6,8,10,0.6,0.8,2,0.5
S002,理论实验关联,5,8,10,0.5,0.8,3,0.6
S002,数据处理,5,8,10,0.5,0.8,3,0.6
S002,误差分析,4,7,10,0.4,0.7,3,0.5
S003,反应级数判定,5,8,10,0.5,0.8,3,0.6
S003,积分速率方程,4,7,10,0.4,0.7,3,0.5
S003,理论实验关联,4,8,10,0.4,0.8,4,0.6666666666666666
S003,数据处理,5,8,10,0.5,0.8,3,0.6
S003,误差分析,3,7,10,0.3,0.7,4,0.5714285714285714
S004,反应级数判定,8,10,10,0.8,1.0,2,1.0
S004,积分速率方程,7,9,10,0.7,0.9,2,0.6666666666666666
S004,理论实验关联,6,9,10,0.6,0.9,3,0.75
S004,数据处理,7,9,10,0.7,0.9,2,0.6666666666666666
S004,误差分析,5,8,10,0.5,0.8,3,0.6
S005,反应级数判定,6,8,10,0.6,0.8,2,0.5
S005,积分速率方程,5,7,10,0.5,0.7,2,0.4
S005,理论实验关联,4,7,10,0.4,0.7,3,0.5
S005,数据处理,4,7,10,0.4,0.7,3,0.5
S005,误差分析,3,6,10,0.3,0.6,3,0.42857142857142855
S006,反应级数判定,7,9,10,0.7,0.9,2,0.6666666666666666
S006,积分速率方程,5,8,10,0.5,0.8,3,0.6
S006,理论实验关联,5,8,10,0.5,0.8,3,0.6
S006,数据处理,6,9,10,0.6,0.9,3,0.75
S006,误差分析,4,7,10,0.4,0.7,3,0.5
