system	goal	target_meV_per_atom	success	actual_error_meV_per_atom	adaptive_cost_s	final_Ecut_Ha	final_kgrid_n	final_scf_tol	control_steps	stringent_reference_time_s	uniform_success	uniform_actual_error_meV_per_atom	uniform_cost_s	uniform_over_adaptive_speedup
Si	energy	10.0	true	4.738168812841632	21.243374034	28.0	7	0.0001	6	14.305591904	true	1.724760455932692	36.229932115	1.705469764690582
Si	energy	5.0	true	1.9502374421315727	27.304606208	28.0	8	0.0001	7	14.305591904	true	1.724760455932692	36.229932115	1.3268798619181317
Si	energy	2.0	true	0.8282470814649204	31.615974170999998	28.0	9	0.0001	8	14.305591904	true	1.724760455932692	36.229932115	1.1459375541947459
C	energy	10.0	true	3.90174251322565	11.778300546999999	37.76	7	0.0001	7	4.178314666	true	1.350262011761902	6.774042137	0.5751289933525586
C	energy	5.0	true	1.491764265538808	13.820712935999998	44.556799999999996	7	0.0001	8	4.178314666	true	0.4170709011547484	11.201052742000002	0.8104540477664982
C	energy	2.0	true	0.5578985727923734	17.007053314	44.556799999999996	8	0.0001	9	4.178314666	true	0.4170709011547484	11.201052742000002	0.6586121966689803
MgO	energy	10.0	true	1.5354313491193048	18.477007925	44.556799999999996	5	0.0001	6	16.448547391	true	1.3190470749481071	5.486495854999999	0.2969363804610697
MgO	energy	5.0	true	1.5354313491193048	18.477007925	44.556799999999996	5	0.0001	6	16.448547391	true	0.3604437885005961	13.740419705999999	0.7436496083009608
MgO	energy	2.0	true	0.7027822380995842	24.15558162	44.556799999999996	6	0.0001	7	16.448547391	true	0.3604437885005961	13.740419705999999	0.5688300088217871
LiF	energy	10.0	true	1.2582903224116364	5.336006866	42.48	4	0.0001	4	11.513003594	true	0.28791585367494843	4.316137466	0.8088702984063963
LiF	energy	5.0	true	0.5214966330056984	8.02990723	42.48	5	0.0001	5	11.513003594	true	0.28791585367494843	4.316137466	0.5375077622160773
LiF	energy	2.0	true	0.5214966330056984	8.02990723	42.48	5	0.0001	5	11.513003594	true	0.28791585367494843	4.316137466	0.5375077622160773
