system	goal	target	step	Ecut_Ha	kgrid_n	scf_tol	basis_estimate	kpoint_estimate	scf_estimate	estimated_controllable_error	actual_error	selected_action	cumulative_cost_s	kpoint_estimate_source	scf_estimate_source	stop_verified
Si	energy	10.0	1	28.0	2	0.0001	0.04013708030321842	969.4606293232866	2.091898148773524e-5	969.5007873225713	1279.071220210785	kgrid	3.312570402	direct_probe	anchored_probe	false
Si	energy	10.0	2	28.0	3	0.0001	0.04286433592849176	287.2475938735664	2.091898148773524e-5	287.29047912847636	309.6105908874983	kgrid	5.003912478	decay_prediction	anchored_probe	false
Si	energy	10.0	3	28.0	4	0.0001	0.04300138591034836	90.85711297376379	2.091898148773524e-5	90.90013527865563	94.24558235709523	kgrid	7.710542405	decay_prediction	anchored_probe	false
Si	energy	10.0	4	28.0	5	0.0001	0.04315996994772324	31.700447367495762	2.091898148773524e-5	31.743628256424973	32.330646092455076	kgrid	10.522595888	decay_prediction	anchored_probe	false
Si	energy	10.0	5	28.0	6	0.0001	0.04446083079132101	11.753605857715502	2.091898148773524e-5	11.798087607488311	12.020415170322696	kgrid	14.47799082	decay_prediction	anchored_probe	false
Si	energy	10.0	6	28.0	7	0.0001	0.04324567494320818	2.78793137071006	2.091898148773524e-5	2.831197964634756	4.738168812841632	stop	21.243374034	stop_verification	anchored_probe	true
Si	energy	5.0	1	28.0	2	0.0001	0.04013708030321842	969.4606293232866	2.091898148773524e-5	969.5007873225713	1279.071220210785	kgrid	3.312570402	direct_probe	anchored_probe	false
Si	energy	5.0	2	28.0	3	0.0001	0.04286433592849176	287.2475938735664	2.091898148773524e-5	287.29047912847636	309.6105908874983	kgrid	5.003912478	decay_prediction	anchored_probe	false
Si	energy	5.0	3	28.0	4	0.0001	0.04300138591034836	90.85711297376379	2.091898148773524e-5	90.90013527865563	94.24558235709523	kgrid	7.710542405	decay_prediction	anchored_probe	false
Si	energy	5.0	4	28.0	5	0.0001	0.04315996994772324	31.700447367495762	2.091898148773524e-5	31.743628256424973	32.330646092455076	kgrid	10.522595888	decay_prediction	anchored_probe	false
Si	energy	5.0	5	28.0	6	0.0001	0.04446083079132101	11.753605857715502	2.091898148773524e-5	11.798087607488311	12.020415170322696	kgrid	14.47799082	decay_prediction	anchored_probe	false
Si	energy	5.0	6	28.0	7	0.0001	0.04324567494320818	4.585904411708191	2.091898148773524e-5	4.6291710056328865	4.738168812841632	kgrid	18.982179374999998	decay_prediction	anchored_probe	false
Si	energy	5.0	7	28.0	8	0.0001	0.04372120205884071	1.1219903606666521	2.091898148773524e-5	1.1657324817069805	1.9502374421315727	stop	27.304606208	stop_verification	anchored_probe	true
Si	energy	2.0	1	28.0	2	0.0001	0.04013708030321842	969.4606293232866	2.091898148773524e-5	969.5007873225713	1279.071220210785	kgrid	3.312570402	direct_probe	anchored_probe	false
Si	energy	2.0	2	28.0	3	0.0001	0.04286433592849176	287.2475938735664	2.091898148773524e-5	287.29047912847636	309.6105908874983	kgrid	5.003912478	decay_prediction	anchored_probe	false
Si	energy	2.0	3	28.0	4	0.0001	0.04300138591034836	90.85711297376379	2.091898148773524e-5	90.90013527865563	94.24558235709523	kgrid	7.710542405	decay_prediction	anchored_probe	false
Si	energy	2.0	4	28.0	5	0.0001	0.04315996994772324	31.700447367495762	2.091898148773524e-5	31.743628256424973	32.330646092455076	kgrid	10.522595888	decay_prediction	anchored_probe	false
Si	energy	2.0	5	28.0	6	0.0001	0.04446083079132101	11.753605857715502	2.091898148773524e-5	11.798087607488311	12.020415170322696	kgrid	14.47799082	decay_prediction	anchored_probe	false
Si	energy	2.0	6	28.0	7	0.0001	0.04324567494320818	4.585904411708191	2.091898148773524e-5	4.6291710056328865	4.738168812841632	kgrid	18.982179374999998	decay_prediction	anchored_probe	false
Si	energy	2.0	7	28.0	8	0.0001	0.04372120205884071	1.8676962112374034	2.091898148773524e-5	1.9114383322777317	1.9502374421315727	kgrid	24.990012592	boundary_prediction	anchored_probe	false
Si	energy	2.0	8	28.0	9	0.0001	0.043872064579956994	0.7880096908934511	2.091898148773524e-5	0.8319026744548957	0.8282470814649204	stop	31.615974170999998	boundary_tail_prediction	anchored_probe	false
C	energy	10.0	1	32.0	2	0.0001	58.85467675782169	1310.9439380270042	3.155733170453608e-5	1369.7986463421576	1626.6239668601775	kgrid	1.298000024	direct_probe	anchored_probe	false
C	energy	10.0	2	32.0	3	0.0001	44.86403479599405	388.4278334894827	3.155733170453608e-5	433.2918998428084	315.68002883317325	kgrid	2.056696605	decay_prediction	anchored_probe	false
C	energy	10.0	3	32.0	4	0.0001	45.689864535972674	93.66299293622697	3.155733170453608e-5	139.35288902953135	93.66404557693154	kgrid	3.3183057910000002	decay_prediction	anchored_probe	false
C	energy	10.0	4	32.0	5	0.0001	43.93521883951763	25.60016336152682	3.155733170453608e-5	69.53541375837617	43.66372651144948	kgrid	4.798706605	decay_prediction	anchored_probe	false
C	energy	10.0	5	32.0	6	0.0001	43.23520510837633	7.30597844101734	3.155733170453608e-5	50.54121510672537	31.03899576537152	Ecut	6.816889772	decay_prediction	anchored_probe	false
C	energy	10.0	6	37.76	6	0.0001	4.282386429938943	8.036576285119073	3.155733170453608e-5	12.318994272389721	7.075580330223955	kgrid	8.668249852999999	transferred_prediction	anchored_probe	false
C	energy	10.0	7	37.76	7	0.0001	4.479638314219836	1.0061981735025074	3.155733170453608e-5	5.485868045054048	3.90174251322565	stop	11.778300546999999	stop_verification	anchored_probe	true
C	energy	5.0	1	32.0	2	0.0001	58.85467675782169	1310.9439380270042	3.155733170453608e-5	1369.7986463421576	1626.6239668601775	kgrid	1.298000024	direct_probe	anchored_probe	false
C	energy	5.0	2	32.0	3	0.0001	44.86403479599405	388.4278334894827	3.155733170453608e-5	433.2918998428084	315.68002883317325	kgrid	2.056696605	decay_prediction	anchored_probe	false
C	energy	5.0	3	32.0	4	0.0001	45.689864535972674	93.66299293622697	3.155733170453608e-5	139.35288902953135	93.66404557693154	kgrid	3.3183057910000002	decay_prediction	anchored_probe	false
C	energy	5.0	4	32.0	5	0.0001	43.93521883951763	25.60016336152682	3.155733170453608e-5	69.53541375837617	43.66372651144948	kgrid	4.798706605	decay_prediction	anchored_probe	false
C	energy	5.0	5	32.0	6	0.0001	43.23520510837633	7.30597844101734	3.155733170453608e-5	50.54121510672537	31.03899576537152	Ecut	6.816889772	decay_prediction	anchored_probe	false
C	energy	5.0	6	37.76	6	0.0001	4.282386429938943	8.036576285119073	3.155733170453608e-5	12.318994272389721	7.075580330223955	kgrid	8.668249852999999	transferred_prediction	anchored_probe	false
C	energy	5.0	7	37.76	7	0.0001	4.479638314219836	1.9986850392759001	3.155733170453608e-5	6.4783549108274405	3.90174251322565	Ecut	10.916799959999999	decay_prediction	anchored_probe	false
C	energy	5.0	8	44.556799999999996	7	0.0001	0.11851567789316722	0.9338656927464346	3.155733170453608e-5	1.0524129279713064	1.491764265538808	stop	13.820712935999998	stop_verification	anchored_probe	true
C	energy	2.0	1	32.0	2	0.0001	58.85467675782169	1310.9439380270042	3.155733170453608e-5	1369.7986463421576	1626.6239668601775	kgrid	1.298000024	direct_probe	anchored_probe	false
C	energy	2.0	2	32.0	3	0.0001	44.86403479599405	388.4278334894827	3.155733170453608e-5	433.2918998428084	315.68002883317325	kgrid	2.056696605	decay_prediction	anchored_probe	false
C	energy	2.0	3	32.0	4	0.0001	45.689864535972674	93.66299293622697	3.155733170453608e-5	139.35288902953135	93.66404557693154	kgrid	3.3183057910000002	decay_prediction	anchored_probe	false
C	energy	2.0	4	32.0	5	0.0001	43.93521883951763	25.60016336152682	3.155733170453608e-5	69.53541375837617	43.66372651144948	kgrid	4.798706605	decay_prediction	anchored_probe	false
C	energy	2.0	5	32.0	6	0.0001	43.23520510837633	7.30597844101734	3.155733170453608e-5	50.54121510672537	31.03899576537152	Ecut	6.816889772	decay_prediction	anchored_probe	false
