system	goal	target	step	Ecut_Ha	kgrid_n	scf_tol	successive_change	actual_error	cumulative_cost_s
Si	energy	10.0	1	33.04	3	1.0e-5	969.4828413885782	309.5883788222067	1.2254317829999999
Si	energy	10.0	2	38.987199999999994	4	1.0000000000000002e-6	215.44609757057748	94.14228125162929	3.3789822899999997
Si	energy	10.0	3	46.00489599999999	5	1.0000000000000002e-7	61.98873082649622	32.153550425133055	6.468654359
Si	energy	10.0	4	54.285777279999984	6	1.0000000000000002e-8	20.34949999473806	11.804050430394994	13.936039014
Si	energy	10.0	5	55.0	7	1.0000000000000003e-9	7.291239624656876	4.51281080573812	22.911793568
Si	energy	10.0	6	55.0	8	1.0e-9	2.7880503498054274	1.724760455932692	36.229932115
Si	energy	5.0	1	33.04	3	1.0e-5	969.4828413885782	309.5883788222067	1.2254317829999999
Si	energy	5.0	2	38.987199999999994	4	1.0000000000000002e-6	215.44609757057748	94.14228125162929	3.3789822899999997
Si	energy	5.0	3	46.00489599999999	5	1.0000000000000002e-7	61.98873082649622	32.153550425133055	6.468654359
Si	energy	5.0	4	54.285777279999984	6	1.0000000000000002e-8	20.34949999473806	11.804050430394994	13.936039014
Si	energy	5.0	5	55.0	7	1.0000000000000003e-9	7.291239624656876	4.51281080573812	22.911793568
Si	energy	5.0	6	55.0	8	1.0e-9	2.7880503498054274	1.724760455932692	36.229932115
Si	energy	2.0	1	33.04	3	1.0e-5	969.4828413885782	309.5883788222067	1.2254317829999999
Si	energy	2.0	2	38.987199999999994	4	1.0000000000000002e-6	215.44609757057748	94.14228125162929	3.3789822899999997
Si	energy	2.0	3	46.00489599999999	5	1.0000000000000002e-7	61.98873082649622	32.153550425133055	6.468654359
Si	energy	2.0	4	54.285777279999984	6	1.0000000000000002e-8	20.34949999473806	11.804050430394994	13.936039014
Si	energy	2.0	5	55.0	7	1.0000000000000003e-9	7.291239624656876	4.51281080573812	22.911793568
Si	energy	2.0	6	55.0	8	1.0e-9	2.7880503498054274	1.724760455932692	36.229932115
C	energy	10.0	1	37.76	3	1.0e-5	1335.8907315079477	290.73323535222966	0.404242567
C	energy	10.0	2	44.556799999999996	4	1.0000000000000002e-6	224.79404856929315	65.93918678293649	0.8753036240000001
C	energy	10.0	3	52.577023999999994	5	1.0000000000000002e-7	49.02651392162935	16.91267286130714	1.816148621
C	energy	10.0	4	62.04088831999999	6	1.0000000000000002e-8	12.278403113668272	4.634269747638866	3.576414458
C	energy	10.0	5	65.0	7	1.0000000000000003e-9	3.284007735876964	1.350262011761902	6.774042137
C	energy	5.0	1	37.76	3	1.0e-5	1335.8907315079477	290.73323535222966	0.404242567
C	energy	5.0	2	44.556799999999996	4	1.0000000000000002e-6	224.79404856929315	65.93918678293649	0.8753036240000001
C	energy	5.0	3	52.577023999999994	5	1.0000000000000002e-7	49.02651392162935	16.91267286130714	1.816148621
C	energy	5.0	4	62.04088831999999	6	1.0000000000000002e-8	12.278403113668272	4.634269747638866	3.576414458
C	energy	5.0	5	65.0	7	1.0000000000000003e-9	3.284007735876964	1.350262011761902	6.774042137
C	energy	5.0	6	65.0	8	1.0e-9	0.9331911106071535	0.4170709011547484	11.201052742000002
C	energy	2.0	1	37.76	3	1.0e-5	1335.8907315079477	290.73323535222966	0.404242567
C	energy	2.0	2	44.556799999999996	4	1.0000000000000002e-6	224.79404856929315	65.93918678293649	0.8753036240000001
C	energy	2.0	3	52.577023999999994	5	1.0000000000000002e-7	49.02651392162935	16.91267286130714	1.816148621
C	energy	2.0	4	62.04088831999999	6	1.0000000000000002e-8	12.278403113668272	4.634269747638866	3.576414458
C	energy	2.0	5	65.0	7	1.0000000000000003e-9	3.284007735876964	1.350262011761902	6.774042137
C	energy	2.0	6	65.0	8	1.0e-9	0.9331911106071535	0.4170709011547484	11.201052742000002
MgO	energy	10.0	1	37.76	3	1.0e-5	531.3491191747793	51.28953937509044	1.089984978
MgO	energy	10.0	2	44.556799999999996	4	1.0000000000000002e-6	44.58013751980399	6.709401855286452	2.639813018
MgO	energy	10.0	3	52.577023999999994	5	1.0000000000000002e-7	5.390354780338345	1.3190470749481071	5.486495854999999
MgO	energy	5.0	1	37.76	3	1.0e-5	531.3491191747793	51.28953937509044	1.089984978
MgO	energy	5.0	2	44.556799999999996	4	1.0000000000000002e-6	44.58013751980399	6.709401855286452	2.639813018
MgO	energy	5.0	3	52.577023999999994	5	1.0000000000000002e-7	5.390354780338345	1.3190470749481071	5.486495854999999
