system	goal	target	step	Ecut_Ha	kgrid_n	scf_tol	basis_estimate	kpoint_estimate	scf_estimate	estimated_controllable_error	actual_error	selected_action	cumulative_cost_s	kpoint_estimate_source	scf_estimate_source	stop_verified
Si_displaced	force	0.05	1	30.0	2	1.0e-5	2.8618904665559095e-5	0.1460432506303733	4.92595936320133e-5	0.14612112912867087	0.2137014507708875	kgrid	6.282276382999999	direct_probe	anchored_probe	false
Si_displaced	force	0.05	2	30.0	3	1.0e-5	2.1301990243859277e-5	0.04327207426085134	4.92595936320133e-5	0.043342635844727216	0.06766197004999212	kgrid	9.399488217999998	decay_prediction	anchored_probe	false
Si_displaced	force	0.05	3	30.0	4	1.0e-5	8.427141392515922e-5	0.015435942361720642	4.92595936320133e-5	0.015569473369277814	0.02581332290750326	stop	33.206050540999996	stop_verification	anchored_probe	true
Si_displaced	force	0.02	1	30.0	2	1.0e-5	2.8618904665559095e-5	0.1460432506303733	4.92595936320133e-5	0.14612112912867087	0.2137014507708875	kgrid	6.282276382999999	direct_probe	anchored_probe	false
Si_displaced	force	0.02	2	30.0	3	1.0e-5	2.1301990243859277e-5	0.04327207426085134	4.92595936320133e-5	0.043342635844727216	0.06766197004999212	kgrid	9.399488217999998	decay_prediction	anchored_probe	false
Si_displaced	force	0.02	3	30.0	4	1.0e-5	8.427141392515922e-5	0.017661940025208274	4.92595936320133e-5	0.017795471032765447	0.02581332290750326	kgrid	21.813877614	decay_prediction	anchored_probe	false
Si_displaced	force	0.02	4	30.0	5	1.0e-5	1.4797688799783621e-5	0.006053628886330119	4.92595936320133e-5	0.006117686168761916	0.010377456341357942	stop	62.165220493999996	stop_verification	anchored_probe	true
MgO_displaced	force	0.05	1	34.0	2	1.0e-5	0.0005701502072815649	0.03128056096910679	0.0002046217023328183	0.03205533287872117	0.043058219984356626	stop	6.790831548	direct_probe	anchored_probe	false
MgO_displaced	force	0.02	1	34.0	2	1.0e-5	0.0005701502072815649	0.03128056096910679	0.0002046217023328183	0.03205533287872117	0.043058219984356626	kgrid	6.790831548	direct_probe	anchored_probe	false
MgO_displaced	force	0.02	2	34.0	3	1.0e-5	0.004831701199792693	0.009268314361216825	0.0002046217023328183	0.014304637263342336	0.011879289532995932	kgrid	11.184324415999999	decay_prediction	anchored_probe	false
MgO_displaced	force	0.02	3	34.0	4	1.0e-5	0.0036105149889052884	0.0001485874691164377	0.0002046217023328183	0.003963724160354544	0.004873040243834393	stop	39.690820927000004	stop_verification	anchored_probe	true
TiO2_displaced	force	0.05	1	32.0	2	1.0e-5	0.029179706803228157	0.7742146033941423	0.0006385271463441715	0.8040328373437146	0.9451532811615286	kgrid	138.573444812	direct_probe	anchored_probe	false
TiO2_displaced	force	0.05	2	32.0	3	1.0e-5	0.03242557980595761	0.22939691952419028	0.0006385271463441715	0.26246102647649205	0.17266999668864585	kgrid	191.823932622	decay_prediction	anchored_probe	false
TiO2_displaced	force	0.05	3	32.0	4	1.0e-5	0.03327068975494575	0.048883500878844355	0.0006385271463441715	0.08279271778013428	0.05978164989316942	Ecut	505.37507667	decay_prediction	anchored_probe	false
TiO2_displaced	force	0.05	4	37.76	4	1.0e-5	0.0013147426733061507	0.0537718509667288	0.0006385271463441715	0.05572512078637912	0.026330088306573535	kgrid	957.940187079	transferred_prediction	anchored_probe	false
TiO2_displaced	force	0.05	5	37.76	5	1.0e-5	0.001162922934810641	0.004526141557107767	0.0006385271463441715	0.0063275916382625795	0.0056050991955331544	stop	2865.896892257	stop_verification	anchored_probe	true
TiO2_displaced	force	0.02	1	32.0	2	1.0e-5	0.029179706803228157	0.7742146033941423	0.0006385271463441715	0.8040328373437146	0.9451532811615286	kgrid	138.573444812	direct_probe	anchored_probe	false
TiO2_displaced	force	0.02	2	32.0	3	1.0e-5	0.03242557980595761	0.22939691952419028	0.0006385271463441715	0.26246102647649205	0.17266999668864585	kgrid	191.823932622	decay_prediction	anchored_probe	false
TiO2_displaced	force	0.02	3	32.0	4	1.0e-5	0.03327068975494575	0.048883500878844355	0.0006385271463441715	0.08279271778013428	0.05978164989316942	Ecut	505.37507667	decay_prediction	anchored_probe	false
TiO2_displaced	force	0.02	4	37.76	4	1.0e-5	0.0013147426733061507	0.0537718509667288	0.0006385271463441715	0.05572512078637912	0.026330088306573535	kgrid	957.940187079	transferred_prediction	anchored_probe	false
TiO2_displaced	force	0.02	5	37.76	5	1.0e-5	0.001162922934810641	0.004526141557107767	0.0006385271463441715	0.0063275916382625795	0.0056050991955331544	stop	2865.896892257	stop_verification	anchored_probe	true
