system	goal	target	step	Ecut_Ha	kgrid_n	scf_tol	successive_change	actual_error	cumulative_cost_s
Si_displaced	force	0.05	1	35.4	3	1.0000000000000002e-6	0.14605987847238258	0.06764334842314798	6.151436385
Si_displaced	force	0.05	2	41.772	4	1.0000000000000002e-7	0.04194042101373971	0.02570309381878213	19.137131062
Si_displaced	force	0.05	3	49.29096	5	1.0000000000000002e-8	0.015343192391025273	0.01035992253508224	50.731052813000005
Si_displaced	force	0.02	1	35.4	3	1.0000000000000002e-6	0.14605987847238258	0.06764334842314798	6.151436385
Si_displaced	force	0.02	2	41.772	4	1.0000000000000002e-7	0.04194042101373971	0.02570309381878213	19.137131062
Si_displaced	force	0.02	3	49.29096	5	1.0000000000000002e-8	0.015343192391025273	0.01035992253508224	50.731052813000005
Si_displaced	force	0.02	4	58.16333279999999	6	1.0000000000000003e-9	0.006062000205000483	0.004297926321179456	137.283669792
MgO_displaced	force	0.05	1	40.12	3	1.0000000000000002e-6	0.03685677015404733	0.00636653513245837	6.481057147
MgO_displaced	force	0.05	2	47.34159999999999	4	1.0000000000000002e-7	0.005083774224005391	0.0012827609369713037	23.474964604
MgO_displaced	force	0.02	1	40.12	3	1.0000000000000002e-6	0.03685677015404733	0.00636653513245837	6.481057147
MgO_displaced	force	0.02	2	47.34159999999999	4	1.0000000000000002e-7	0.005083774224005391	0.0012827609369713037	23.474964604
TiO2_displaced	force	0.05	1	37.76	3	1.0000000000000002e-6	0.801927698842179	0.14334096850830877	164.478346593
TiO2_displaced	force	0.05	2	44.556799999999996	4	1.0000000000000002e-7	0.11723800534226353	0.026208759374112024	622.764547532
TiO2_displaced	force	0.05	3	52.577023999999994	5	1.0000000000000002e-8	0.02073242129159332	0.005599332966938528	1648.093807612
TiO2_displaced	force	0.02	1	37.76	3	1.0000000000000002e-6	0.801927698842179	0.14334096850830877	164.478346593
TiO2_displaced	force	0.02	2	44.556799999999996	4	1.0000000000000002e-7	0.11723800534226353	0.026208759374112024	622.764547532
TiO2_displaced	force	0.02	3	52.577023999999994	5	1.0000000000000002e-8	0.02073242129159332	0.005599332966938528	1648.093807612
TiO2_displaced	force	0.02	4	62.04088831999999	6	1.0000000000000003e-9	0.004227941102421913	0.001536555076040271	4588.936982356
