system	goal	target	success	actual_error	uniform_cost_s	final_Ecut_Ha	final_kgrid_n	final_scf_tol	steps
Si	energy	10.0	true	1.724760455932692	36.229932115	55.0	8	1.0e-9	6
Si	energy	5.0	true	1.724760455932692	36.229932115	55.0	8	1.0e-9	6
Si	energy	2.0	true	1.724760455932692	36.229932115	55.0	8	1.0e-9	6
C	energy	10.0	true	1.350262011761902	6.774042137	65.0	7	1.0000000000000003e-9	5
C	energy	5.0	true	0.4170709011547484	11.201052742000002	65.0	8	1.0e-9	6
C	energy	2.0	true	0.4170709011547484	11.201052742000002	65.0	8	1.0e-9	6
MgO	energy	10.0	true	1.3190470749481071	5.486495854999999	52.577023999999994	5	1.0000000000000002e-7	3
MgO	energy	5.0	true	0.3604437885005961	13.740419705999999	62.04088831999999	6	1.0000000000000002e-8	4
MgO	energy	2.0	true	0.3604437885005961	13.740419705999999	62.04088831999999	6	1.0000000000000002e-8	4
LiF	energy	10.0	true	0.28791585367494843	4.316137466	59.149151999999994	5	1.0000000000000002e-7	3
LiF	energy	5.0	true	0.28791585367494843	4.316137466	59.149151999999994	5	1.0000000000000002e-7	3
LiF	energy	2.0	true	0.28791585367494843	4.316137466	59.149151999999994	5	1.0000000000000002e-7	3
