System	Goal	Unit	Target	Realized error	GoalDFT wall time (s)	Uniform wall time (s)	Uniform/GoalDFT wall-time ratio	Final Ecut (Ha)	Final k-grid n	Final SCF tolerance
Si	Energy	meV $\cdot$ atom^-1	10.0	4.738	21.24	36.23	1.71	28.0	7	1.0e-04
Si	Energy	meV $\cdot$ atom^-1	5.0	1.950	27.30	36.23	1.33	28.0	8	1.0e-04
Si	Energy	meV $\cdot$ atom^-1	2.0	0.828	31.62	36.23	1.15	28.0	9	1.0e-04
C	Energy	meV $\cdot$ atom^-1	10.0	3.902	11.78	6.77	0.58	37.8	7	1.0e-04
C	Energy	meV $\cdot$ atom^-1	5.0	1.492	13.82	11.20	0.81	44.6	7	1.0e-04
C	Energy	meV $\cdot$ atom^-1	2.0	0.558	17.01	11.20	0.66	44.6	8	1.0e-04
MgO	Energy	meV $\cdot$ atom^-1	10.0	1.535	18.48	5.49	0.30	44.6	5	1.0e-04
MgO	Energy	meV $\cdot$ atom^-1	5.0	1.535	18.48	13.74	0.74	44.6	5	1.0e-04
MgO	Energy	meV $\cdot$ atom^-1	2.0	0.703	24.16	13.74	0.57	44.6	6	1.0e-04
LiF	Energy	meV $\cdot$ atom^-1	10.0	1.258	5.34	4.32	0.81	42.5	4	1.0e-04
LiF	Energy	meV $\cdot$ atom^-1	5.0	0.521	8.03	4.32	0.54	42.5	5	1.0e-04
LiF	Energy	meV $\cdot$ atom^-1	2.0	0.521	8.03	4.32	0.54	42.5	5	1.0e-04
Si	Force	eV $\cdot$ Å^-1	0.05	0.0258	33.21	50.73	1.53	30.0	4	1.0e-05
Si	Force	eV $\cdot$ Å^-1	0.02	0.0104	62.17	137.3	2.21	30.0	5	1.0e-05
MgO	Force	eV $\cdot$ Å^-1	0.05	0.0431	6.79	23.47	3.46	34.0	2	1.0e-05
MgO	Force	eV $\cdot$ Å^-1	0.02	0.0049	39.69	23.47	0.59	34.0	4	1.0e-05
TiO2	Force	eV $\cdot$ Å^-1	0.05	0.0056	2865.9	1648.1	0.58	37.8	5	1.0e-05
TiO2	Force	eV $\cdot$ Å^-1	0.02	0.0056	2865.9	4588.9	1.60	37.8	5	1.0e-05
