 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45000000E-02  0.49790876E+04  0.49792610E+04  0.49797164E+04  0.15547450E+03  0.42994138E+03  0.54052647E+03
  0.89000000E-02  0.69632953E+04  0.69635378E+04  0.69641746E+04  0.21743110E+03  0.60127306E+03  0.75592631E+03
  0.13400000E-01  0.85602803E+04  0.85605820E+04  0.85613630E+04  0.26735249E+03  0.73916417E+03  0.92926781E+03
  0.17800000E-01  0.98478098E+04  0.98481568E+04  0.98490574E+04  0.30749400E+03  0.85032851E+03  0.10690793E+04
  0.22300000E-01  0.11035118E+05  0.11035511E+05  0.11036518E+05  0.34463543E+03  0.95277896E+03  0.11979103E+04
  0.26700000E-01  0.12061515E+05  0.12061940E+05  0.12063048E+05  0.37643962E+03  0.10414355E+04  0.13093494E+04
  0.31200000E-01  0.13049160E+05  0.13049619E+05  0.13050807E+05  0.40742926E+03  0.11267162E+04  0.14165038E+04
  0.35600000E-01  0.13928191E+05  0.13928682E+05  0.13929944E+05  0.43448779E+03  0.12026814E+04  0.15117988E+04
  0.40100000E-01  0.14792005E+05  0.14792508E+05  0.14793876E+05  0.46161808E+03  0.12771929E+04  0.16055352E+04
  0.44500000E-01  0.15573276E+05  0.15573798E+05  0.15575235E+05  0.48577212E+03  0.13444118E+04  0.16903026E+04
  0.49000000E-01  0.16350735E+05  0.16351300E+05  0.16352771E+05  0.51011241E+03  0.14117095E+04  0.17747415E+04
  0.53500000E-01  0.17093049E+05  0.17093651E+05  0.17095199E+05  0.53405161E+03  0.14755703E+04  0.18551673E+04
  0.57900000E-01  0.17773942E+05  0.17774572E+05  0.17776219E+05  0.55517981E+03  0.15342333E+04  0.19290102E+04
  0.62400000E-01  0.18459500E+05  0.18460150E+05  0.18461829E+05  0.57619199E+03  0.15931035E+04  0.20034885E+04
  0.66800000E-01  0.19092179E+05  0.19092839E+05  0.19094580E+05  0.59603381E+03  0.16480266E+04  0.20719245E+04
  0.71300000E-01  0.19732349E+05  0.19733076E+05  0.19734863E+05  0.61532153E+03  0.17032372E+04  0.21413141E+04
  0.75700000E-01  0.20325874E+05  0.20326598E+05  0.20328408E+05  0.63501611E+03  0.17538103E+04  0.22057734E+04
  0.80200000E-01  0.20928844E+05  0.20929554E+05  0.20931448E+05  0.65282655E+03  0.18057662E+04  0.22709334E+04
  0.84600000E-01  0.21489772E+05  0.21490456E+05  0.21492423E+05  0.66969778E+03  0.18539787E+04  0.23317556E+04
  0.89100000E-01  0.22061441E+05  0.22062180E+05  0.22064213E+05  0.68775742E+03  0.19039571E+04  0.23935607E+04
  0.93500000E-01  0.22594725E+05  0.22595520E+05  0.22597507E+05  0.70599510E+03  0.19490608E+04  0.24511408E+04
  0.98000000E-01  0.23139585E+05  0.23140331E+05  0.23142463E+05  0.72311537E+03  0.19964587E+04  0.25098635E+04
  0.10250000E+00  0.23672219E+05  0.23673017E+05  0.23675182E+05  0.73826646E+03  0.20424066E+04  0.25679588E+04
  0.10690000E+00  0.24170734E+05  0.24171584E+05  0.24173769E+05  0.75455718E+03  0.20855250E+04  0.26217105E+04
  0.11140000E+00  0.24681671E+05  0.24682446E+05  0.24684770E+05  0.76993710E+03  0.21288672E+04  0.26766829E+04
  0.11580000E+00  0.25160731E+05  0.25161689E+05  0.25163879E+05  0.78294661E+03  0.21705270E+04  0.27286636E+04
  0.12030000E+00  0.25652496E+05  0.25653365E+05  0.25655683E+05  0.79954597E+03  0.22116029E+04  0.27817595E+04
  0.12470000E+00  0.26114441E+05  0.26115359E+05  0.26117653E+05  0.81420560E+03  0.22520701E+04  0.28303849E+04
